pipeline,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_precision_class_0,train_recall_class_0,train_f1_class_0,train_support_class_0,train_precision_class_1,train_recall_class_1,train_f1_class_1,train_support_class_1,train_balanced_accuracy,train_roc_auc,train_pr_auc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_balanced_accuracy,test_roc_auc,test_pr_auc,best_params,best_val_primary_score,best_val_f1_class_1,best_val_recall_class_1,best_val_f1_macro,best_val_balanced_accuracy
P06_TFIDF_Sublinear_LogReg,0.9685576077396658,0.9299402761220663,0.9761255021720024,0.9507656128733549,0.972196008190807,0.9685576077396658,0.9693580522782745,0.997206313730968,0.9640783254557731,0.9803625377643505,7405.0,0.8626742385131647,0.9881726788882318,0.9211686879823594,1691.0,0.9761255021720024,0.9956926110388595,0.978901639192266,0.8777484608619174,0.7941172838743934,0.834626481372921,0.8115154211186021,0.8883012907657059,0.8777484608619174,0.8816792050603337,0.9440993788819876,0.9032955159373312,0.9232468249585865,1851.0,0.6441351888667992,0.7659574468085106,0.6997840172786177,423.0,0.834626481372921,0.9229002788091032,0.7748357448723269,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6859205776173285,0.6859205776173285,0.7480314960629921,0.8029786711616054,0.8245107975364465
P07_CharTFIDF_LogReg,0.9318381706244503,0.869378416000509,0.9366892525109098,0.8971597856452456,0.9429650217574574,0.9318381706244503,0.9346744186954492,0.9865194320952244,0.9289669142471303,0.9568785644735012,7405.0,0.7522373999057936,0.9444115907746895,0.8374410068169901,1691.0,0.9366892525109098,0.9828672349264546,0.9292716155012513,0.86103781882146,0.7723898968702818,0.839864209876969,0.7971763244799458,0.8850137692424193,0.86103781882146,0.8686451441662171,0.951736315479694,0.873581847649919,0.9109859154929577,1851.0,0.5930434782608696,0.806146572104019,0.6833667334669339,423.0,0.839864209876969,0.91253338237717,0.7433707153862187,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.6903553299492385,0.6903553299492385,0.8031496062992126,0.8024006663771438,0.8417188175510464
P08_CharTFIDF_LinearSVC,0.9993403693931399,0.9993661884330909,0.9984540629163969,0.9989093893947472,0.9993404054910635,0.9993403693931399,0.9993400679031094,0.9993251450938049,0.999864956110736,0.9995949777237748,7405.0,0.999407231772377,0.997043169722058,0.9982238010657194,1691.0,0.9984540629163969,0.9999988819547903,0.99999475862519,0.8755496921723834,0.8001848648281944,0.7712660589828768,0.7843094078196562,0.8705253703494374,0.8755496921723834,0.8724034754705653,0.9121976866456362,0.9373311723392761,0.924593658406608,1851.0,0.6881720430107527,0.6052009456264775,0.6440251572327044,423.0,0.7712660589828768,0.9055855055027441,0.7293198648215056,"{""C"": 4.0, ""class_weight"": null}",0.6972111553784861,0.6972111553784861,0.6889763779527559,0.8144942670967834,0.8116349036478451
P09_WordChar_Hybrid_LogReg,0.9901055408970977,0.9747332959011792,0.9939230249831195,0.9839821052895211,0.9906055416378395,0.9901055408970977,0.9902035332876884,1.0,0.987846049966239,0.9938858695652174,7405.0,0.9494665918023583,1.0,0.9740783410138248,1691.0,0.9939230249831195,0.9995427993695822,0.9973340226403433,0.8843447669305189,0.8056750093173934,0.8268235303133058,0.8155128934789952,0.8888901307037217,0.8843447669305189,0.8862774113254861,0.9381898454746137,0.9184224743381956,0.9282009282009283,1851.0,0.6731601731601732,0.735224586288416,0.7028248587570621,423.0,0.8268235303133058,0.9263933749950508,0.7814550797872095,"{""C"": 4.0, ""class_weight"": ""balanced""}",0.7091932457786116,0.7091932457786116,0.7440944881889764,0.819321247377244,0.8315431936894477
P10_WordChar_Hybrid_LinearSVC,0.9982409850483729,0.9953134153485648,0.9989196488858879,0.9971049141583654,0.9982574725933208,0.9982409850483729,0.9982441751386222,1.0,0.9978392977717758,0.9989184804650534,7405.0,0.9906268306971294,1.0,0.9952913478516775,1691.0,0.9989196488858879,0.999999440977395,0.9999972024935011,0.8825857519788918,0.8075683031508427,0.8002095857711569,0.8038004973187121,0.8812443120411139,0.8825857519788918,0.8818749897925057,0.924892703862661,0.9313884386817937,0.928129205921938,1851.0,0.6902439024390243,0.6690307328605201,0.6794717887154862,423.0,0.8002095857711569,0.9165846076429198,0.7638627380674984,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.7196819085487077,0.7196819085487077,0.7125984251968503,0.82818401669016,0.8256961522923946
