baseline_pipeline,baseline_train_accuracy,baseline_train_precision_macro,baseline_train_recall_macro,baseline_train_f1_macro,baseline_train_precision_weighted,baseline_train_recall_weighted,baseline_train_f1_weighted,baseline_train_precision_class_0,baseline_train_recall_class_0,baseline_train_f1_class_0,baseline_train_support_class_0,baseline_train_precision_class_1,baseline_train_recall_class_1,baseline_train_f1_class_1,baseline_train_support_class_1,baseline_train_balanced_accuracy,baseline_train_roc_auc,baseline_train_pr_auc,baseline_test_accuracy,baseline_test_precision_macro,baseline_test_recall_macro,baseline_test_f1_macro,baseline_test_precision_weighted,baseline_test_recall_weighted,baseline_test_f1_weighted,baseline_test_precision_class_0,baseline_test_recall_class_0,baseline_test_f1_class_0,baseline_test_support_class_0,baseline_test_precision_class_1,baseline_test_recall_class_1,baseline_test_f1_class_1,baseline_test_support_class_1,baseline_test_balanced_accuracy,baseline_test_roc_auc,baseline_test_pr_auc,tuned_pipeline,tuned_train_accuracy,tuned_train_precision_macro,tuned_train_recall_macro,tuned_train_f1_macro,tuned_train_precision_weighted,tuned_train_recall_weighted,tuned_train_f1_weighted,tuned_train_precision_class_0,tuned_train_recall_class_0,tuned_train_f1_class_0,tuned_train_support_class_0,tuned_train_precision_class_1,tuned_train_recall_class_1,tuned_train_f1_class_1,tuned_train_support_class_1,tuned_train_balanced_accuracy,tuned_train_roc_auc,tuned_train_pr_auc,tuned_test_accuracy,tuned_test_precision_macro,tuned_test_recall_macro,tuned_test_f1_macro,tuned_test_precision_weighted,tuned_test_recall_weighted,tuned_test_f1_weighted,tuned_test_precision_class_0,tuned_test_recall_class_0,tuned_test_f1_class_0,tuned_test_support_class_0,tuned_test_precision_class_1,tuned_test_recall_class_1,tuned_test_f1_class_1,tuned_test_support_class_1,tuned_test_balanced_accuracy,tuned_test_roc_auc,tuned_test_pr_auc,tuned_best_params,tuned_best_val_primary_score,tuned_best_val_f1_class_1,tuned_best_val_recall_class_1,tuned_best_val_f1_macro,tuned_best_val_balanced_accuracy,delta_test_f1_class_1,delta_test_recall_class_1,delta_test_f1_macro,delta_test_balanced_accuracy
P06_TFIDF_Sublinear_LogReg,0.8988566402814424,0.937199278593678,0.7309377085104403,0.7858206400400988,0.9079950883355983,0.8988566402814424,0.8835639368589604,0.8907097240631401,0.9982444294395678,0.9414161996943454,7405.0,0.9836888331242158,0.4636309875813128,0.6302250803858521,1691.0,0.7309377085104403,0.9772756911815381,0.9324397380396359,0.8707124010554089,0.8822440444879728,0.6679847197796093,0.7120442841809477,0.8737906631626643,0.8707124010554089,0.8462729991671626,0.8687825675035529,0.990815775256618,0.9257950530035336,1851.0,0.8957055214723927,0.34515366430260047,0.49829351535836175,423.0,0.6679847197796093,0.9165450149622018,0.7686876469662961,P06_TFIDF_Sublinear_LogReg,0.9685576077396658,0.9299402761220663,0.9761255021720024,0.9507656128733549,0.972196008190807,0.9685576077396658,0.9693580522782745,0.997206313730968,0.9640783254557731,0.9803625377643505,7405.0,0.8626742385131647,0.9881726788882318,0.9211686879823594,1691.0,0.9761255021720024,0.9956926110388595,0.978901639192266,0.8777484608619174,0.7941172838743934,0.834626481372921,0.8115154211186021,0.8883012907657059,0.8777484608619174,0.8816792050603337,0.9440993788819876,0.9032955159373312,0.9232468249585865,1851.0,0.6441351888667992,0.7659574468085106,0.6997840172786177,423.0,0.834626481372921,0.9229002788091032,0.7748357448723269,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6859205776173285,0.6859205776173285,0.7480314960629921,0.8029786711616054,0.8245107975364465,0.20149050192025597,0.42080378250591016,0.09947113693765441,0.16664176159331168
P07_CharTFIDF_LogReg,0.9069920844327177,0.9340827779001035,0.7564688298978066,0.8098125187154552,0.9128487281782047,0.9069920844327177,0.8952145547825789,0.9002807274502624,0.9960837272113436,0.9457622772150276,7405.0,0.9678848283499446,0.5168539325842697,0.6738627602158828,1691.0,0.7564688298978066,0.9709444806699966,0.9110567897233013,0.8702726473175022,0.8566940698884151,0.6786575015996721,0.7211273964282789,0.866910196636959,0.8702726473175022,0.8491968000781952,0.8729626078619367,0.9837925445705025,0.9250698501397003,1851.0,0.8404255319148937,0.3735224586288416,0.5171849427168577,423.0,0.6786575015996721,0.9086813976982603,0.7454672896106138,P07_CharTFIDF_LogReg,0.9318381706244503,0.869378416000509,0.9366892525109098,0.8971597856452456,0.9429650217574574,0.9318381706244503,0.9346744186954492,0.9865194320952244,0.9289669142471303,0.9568785644735012,7405.0,0.7522373999057936,0.9444115907746895,0.8374410068169901,1691.0,0.9366892525109098,0.9828672349264546,0.9292716155012513,0.86103781882146,0.7723898968702818,0.839864209876969,0.7971763244799458,0.8850137692424193,0.86103781882146,0.8686451441662171,0.951736315479694,0.873581847649919,0.9109859154929577,1851.0,0.5930434782608696,0.806146572104019,0.6833667334669339,423.0,0.839864209876969,0.91253338237717,0.7433707153862187,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.6903553299492385,0.6903553299492385,0.8031496062992126,0.8024006663771438,0.8417188175510464,0.16618179075007622,0.4326241134751774,0.07604892805166685,0.16120670827729688
P08_CharTFIDF_LinearSVC,0.9918645558487247,0.9928917219695321,0.9801729056916886,0.9863866253099749,0.991884302262307,0.9918645558487247,0.9918113904916761,0.9912880310950275,0.9987846049966239,0.9950221983048567,7405.0,0.9944954128440368,0.9615612063867534,0.9777510523150932,1691.0,0.9801729056916886,0.999694853518109,0.9986410449926953,0.8834652594547053,0.8241781139548292,0.7642734806947367,0.7886726047299939,0.8765032337161538,0.8834652594547053,0.8775523886741095,0.9075025693730729,0.9540788762830902,0.9302080589939425,1851.0,0.7408536585365854,0.574468085106383,0.6471371504660453,423.0,0.7642734806947367,0.9141119808729036,0.7523886656177172,P08_CharTFIDF_LinearSVC,0.9993403693931399,0.9993661884330909,0.9984540629163969,0.9989093893947472,0.9993404054910635,0.9993403693931399,0.9993400679031094,0.9993251450938049,0.999864956110736,0.9995949777237748,7405.0,0.999407231772377,0.997043169722058,0.9982238010657194,1691.0,0.9984540629163969,0.9999988819547903,0.99999475862519,0.8755496921723834,0.8001848648281944,0.7712660589828768,0.7843094078196562,0.8705253703494374,0.8755496921723834,0.8724034754705653,0.9121976866456362,0.9373311723392761,0.924593658406608,1851.0,0.6881720430107527,0.6052009456264775,0.6440251572327044,423.0,0.7712660589828768,0.9055855055027441,0.7293198648215056,"{""C"": 4.0, ""class_weight"": null}",0.6972111553784861,0.6972111553784861,0.6889763779527559,0.8144942670967834,0.8116349036478451,-0.0031119932333408817,0.030732860520094496,-0.004363196910337708,0.00699257828814015
P09_WordChar_Hybrid_LogReg,0.9394239226033422,0.9594158585056329,0.8407292290159885,0.8857997963721633,0.9424973274414018,0.9394239226033422,0.9349588301095217,0.9324835941443715,0.9978392977717758,0.9640550590384239,7405.0,0.9863481228668942,0.6836191602602011,0.8075445337059028,1691.0,0.8407292290159885,0.9899280098675475,0.9657949438169633,0.8839050131926122,0.8637296129725669,0.7225957983225475,0.7654589353107102,0.8796999408629353,0.8839050131926122,0.8701253952212027,0.8891613536047082,0.9794705564559697,0.9321336760925449,1851.0,0.8382978723404255,0.4657210401891253,0.5987841945288754,423.0,0.7225957983225475,0.9233498473127426,0.7808554425633963,P09_WordChar_Hybrid_LogReg,0.9901055408970977,0.9747332959011792,0.9939230249831195,0.9839821052895211,0.9906055416378395,0.9901055408970977,0.9902035332876884,1.0,0.987846049966239,0.9938858695652174,7405.0,0.9494665918023583,1.0,0.9740783410138248,1691.0,0.9939230249831195,0.9995427993695822,0.9973340226403433,0.8843447669305189,0.8056750093173934,0.8268235303133058,0.8155128934789952,0.8888901307037217,0.8843447669305189,0.8862774113254861,0.9381898454746137,0.9184224743381956,0.9282009282009283,1851.0,0.6731601731601732,0.735224586288416,0.7028248587570621,423.0,0.8268235303133058,0.9263933749950508,0.7814550797872095,"{""C"": 4.0, ""class_weight"": ""balanced""}",0.7091932457786116,0.7091932457786116,0.7440944881889764,0.819321247377244,0.8315431936894477,0.1040406642281867,0.2695035460992907,0.05005395816828506,0.1042277319907583
P10_WordChar_Hybrid_LinearSVC,0.998900615655233,0.9986384492242288,0.9977276529715446,0.9981823156579118,0.9989002491170562,0.998900615655233,0.9989001131718491,0.9990552031313268,0.999594868332208,0.999324962872958,7405.0,0.998221695317131,0.9958604376108812,0.9970396684428656,1691.0,0.9977276529715446,0.9999958472606495,0.9999814692637456,0.8918205804749341,0.8362702008249374,0.7858202006965758,0.8073040674603175,0.8863497097518283,0.8918205804749341,0.8874432311952926,0.9160186625194401,0.9546191247974068,0.9349206349206349,1851.0,0.7565217391304347,0.6170212765957447,0.6796875,423.0,0.7858202006965758,0.92001256748317,0.7757228069571602,P10_WordChar_Hybrid_LinearSVC,0.9982409850483729,0.9953134153485648,0.9989196488858879,0.9971049141583654,0.9982574725933208,0.9982409850483729,0.9982441751386222,1.0,0.9978392977717758,0.9989184804650534,7405.0,0.9906268306971294,1.0,0.9952913478516775,1691.0,0.9989196488858879,0.999999440977395,0.9999972024935011,0.8825857519788918,0.8075683031508427,0.8002095857711569,0.8038004973187121,0.8812443120411139,0.8825857519788918,0.8818749897925057,0.924892703862661,0.9313884386817937,0.928129205921938,1851.0,0.6902439024390243,0.6690307328605201,0.6794717887154862,423.0,0.8002095857711569,0.9165846076429198,0.7638627380674984,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.7196819085487077,0.7196819085487077,0.7125984251968503,0.82818401669016,0.8256961522923946,-0.00021571128451380872,0.05200945626477538,-0.0035035701416054055,0.014389385074581096
