baseline_pipeline,baseline_train_accuracy,baseline_train_precision_macro,baseline_train_recall_macro,baseline_train_f1_macro,baseline_train_precision_weighted,baseline_train_recall_weighted,baseline_train_f1_weighted,baseline_train_precision_class_0,baseline_train_recall_class_0,baseline_train_f1_class_0,baseline_train_support_class_0,baseline_train_precision_class_1,baseline_train_recall_class_1,baseline_train_f1_class_1,baseline_train_support_class_1,baseline_train_balanced_accuracy,baseline_train_roc_auc,baseline_train_pr_auc,baseline_test_accuracy,baseline_test_precision_macro,baseline_test_recall_macro,baseline_test_f1_macro,baseline_test_precision_weighted,baseline_test_recall_weighted,baseline_test_f1_weighted,baseline_test_precision_class_0,baseline_test_recall_class_0,baseline_test_f1_class_0,baseline_test_support_class_0,baseline_test_precision_class_1,baseline_test_recall_class_1,baseline_test_f1_class_1,baseline_test_support_class_1,baseline_test_balanced_accuracy,baseline_test_roc_auc,baseline_test_pr_auc,tuned_pipeline,tuned_train_accuracy,tuned_train_precision_macro,tuned_train_recall_macro,tuned_train_f1_macro,tuned_train_precision_weighted,tuned_train_recall_weighted,tuned_train_f1_weighted,tuned_train_precision_class_0,tuned_train_recall_class_0,tuned_train_f1_class_0,tuned_train_support_class_0,tuned_train_precision_class_1,tuned_train_recall_class_1,tuned_train_f1_class_1,tuned_train_support_class_1,tuned_train_balanced_accuracy,tuned_train_roc_auc,tuned_train_pr_auc,tuned_test_accuracy,tuned_test_precision_macro,tuned_test_recall_macro,tuned_test_f1_macro,tuned_test_precision_weighted,tuned_test_recall_weighted,tuned_test_f1_weighted,tuned_test_precision_class_0,tuned_test_recall_class_0,tuned_test_f1_class_0,tuned_test_support_class_0,tuned_test_precision_class_1,tuned_test_recall_class_1,tuned_test_f1_class_1,tuned_test_support_class_1,tuned_test_balanced_accuracy,tuned_test_roc_auc,tuned_test_pr_auc,tuned_best_params,tuned_best_val_primary_score,tuned_best_val_f1_class_1,tuned_best_val_recall_class_1,tuned_best_val_f1_macro,tuned_best_val_balanced_accuracy,delta_test_f1_class_1,delta_test_recall_class_1,delta_test_f1_macro,delta_test_balanced_accuracy
P01_Count_MultinomialNB,0.929089709762533,0.8767164878924509,0.8957574975912115,0.885782068163162,0.9312464787389613,0.929089709762533,0.9299634400786779,0.9635216675809106,0.9488183659689399,0.9561134925494998,7405.0,0.7899113082039911,0.8426966292134831,0.8154506437768241,1691.0,0.8957574975912115,0.9609683229840946,0.8981078219684325,0.8799472295514512,0.7991134120770251,0.817738925863344,0.8078385403205013,0.8841139211738444,0.8799472295514512,0.8817590056627815,0.9344713656387665,0.9168017287952458,0.925552222525225,1851.0,0.6637554585152838,0.7186761229314421,0.6901248581157775,423.0,0.817738925863344,0.9053696615336673,0.7615636313633184,P01_Count_MultinomialNB,0.9456904133685137,0.9056096015251458,0.9180458486382409,0.9116509470132659,0.9466676436321743,0.9456904133685137,0.9461003821450203,0.9709690609240834,0.9620526671168129,0.9664902998236331,7405.0,0.8402501421262081,0.8740390301596689,0.8568115942028985,1691.0,0.9180458486382409,0.977393445300237,0.9306220737063757,0.882145998240985,0.8039363676425862,0.8127061852707564,0.8081937927796026,0.883938769142954,0.882145998240985,0.8829839835719921,0.9313351498637602,0.9232847109670448,0.9272924579489962,1851.0,0.6765375854214123,0.7021276595744681,0.6890951276102089,423.0,0.8127061852707564,0.9034206798957307,0.7583852460088194,"{""alpha"": 0.1}",0.6851485148514852,0.6851485148514852,0.6811023622047244,0.806843920347091,0.8054476707513272,-0.001029730505568649,-0.01654846335697402,0.0003552524591012851,-0.005032740592587515
P02_TFIDF_Unigram_LogReg,0.9036939313984169,0.9318887221451189,0.7475983390639805,0.8011465480375037,0.9099696698557782,0.9036939313984169,0.8908519596303172,0.8969962300863432,0.9960837272113436,0.9439467622216534,7405.0,0.9667812142038946,0.4991129509166174,0.6583463338533542,1691.0,0.7475983390639805,0.9638416592429795,0.8969623398734392,0.8737906772207564,0.860060138961873,0.6890256752148541,0.7323792055249856,0.8705006121427492,0.8737906772207564,0.8545422917812231,0.8766859344894027,0.9832522960561858,0.9269162210338681,1851.0,0.8434343434343434,0.3947990543735225,0.537842190016103,423.0,0.6890256752148541,0.9132779802113228,0.7501766941175282,P02_TFIDF_Unigram_LogReg,0.9439313984168866,0.8875362051368971,0.9521023043311074,0.9147462068810384,0.952899721242751,0.9439313984168866,0.9460810780640214,0.9915870526165692,0.9390952059419311,0.9646275488972118,7405.0,0.7834853576572252,0.9651094027202839,0.8648648648648649,1691.0,0.9521023043311074,0.9877144800031625,0.9463462663284922,0.8614775725593667,0.7725275361839111,0.8364866987750535,0.7964942266022057,0.8837540265027821,0.8614775725593667,0.8687091822651053,0.949648711943794,0.8762830902215019,0.9114919921326216,1851.0,0.5954063604240283,0.7966903073286052,0.6814964610717897,423.0,0.8364866987750535,0.9174479835192273,0.7462355119773787,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6689303904923599,0.6689303904923599,0.7755905511811023,0.7889257277076466,0.825689064969489,0.14365427105568673,0.40189125295508277,0.06411502107722011,0.1474610235601994
P03_TFIDF_UniBi_LogReg,0.898636763412489,0.9376343256414256,0.7301181813716897,0.7850641354477672,0.9079629447391429,0.898636763412489,0.8832120477572681,0.8904010598578826,0.9983794733288319,0.9413037942449707,7405.0,0.9848675914249685,0.4618568894145476,0.6288244766505636,1691.0,0.7301181813716897,0.9767514078385351,0.931309651599288,0.8698328935795955,0.8789397052541028,0.6665325624255243,0.7100854017604099,0.8722638700019485,0.8698328935795955,0.845227237256735,0.8683088583609664,0.9902755267423015,0.9252902574457345,1851.0,0.8895705521472392,0.34278959810874704,0.4948805460750853,423.0,0.6665325624255243,0.9156663128869066,0.7677450312645232,P03_TFIDF_UniBi_LogReg,0.9685576077396658,0.9299402761220663,0.9761255021720024,0.9507656128733549,0.972196008190807,0.9685576077396658,0.9693580522782745,0.997206313730968,0.9640783254557731,0.9803625377643505,7405.0,0.8626742385131647,0.9881726788882318,0.9211686879823594,1691.0,0.9761255021720024,0.9956238512584598,0.9788265464882178,0.8799472295514512,0.7972441560996548,0.839624738017786,0.8153502133072936,0.8908257637772817,0.8799472295514512,0.8839335138252542,0.9462669683257918,0.9038357644516477,0.9245647969052224,1851.0,0.6482213438735178,0.7754137115839244,0.7061356297093649,423.0,0.839624738017786,0.9223498128287949,0.7751567730063872,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6858168761220825,0.6858168761220825,0.7519685039370079,0.802641525957958,0.8255792114644536,0.21125508363427964,0.4326241134751773,0.10526481154688372,0.17309217559226175
P04_TFIDF_UniBi_LinearSVC,0.9956024626209323,0.9956774699608772,0.9897698064703673,0.9926924521771769,0.9956031390658988,0.9956024626209323,0.9955892813889571,0.9955591441259588,0.9990546927751519,0.9973038554866541,7405.0,0.9957957957957958,0.9804849201655825,0.9880810488676997,1691.0,0.9897698064703673,0.9998523781021262,0.9992807763286448,0.895778364116095,0.847211247607877,0.7873394101712319,0.8122027871754942,0.890395458301361,0.895778364116095,0.8908751166884658,0.9159793814432989,0.9600216099405726,0.9374835135848061,1851.0,0.7784431137724551,0.6146572104018913,0.6869220607661823,423.0,0.7873394101712319,0.9161248216732889,0.7834162447497595,P04_TFIDF_UniBi_LinearSVC,0.9980211081794196,0.9976377193507672,0.9958185109155153,0.9967251735601208,0.9980200376346974,0.9980211081794196,0.9980192963169668,0.9982463240253608,0.9993247805536799,0.9987852611688487,7405.0,0.9970291146761735,0.9923122412773506,0.994665085951393,1691.0,0.9958185109155153,0.9999587521177973,0.9998041210671185,0.890061565523307,0.8294813705026292,0.7892992478667846,0.8069617373375728,0.8850781047503977,0.890061565523307,0.8864969616333022,0.9180156657963446,0.9497568881685575,0.9336165693043016,1851.0,0.7409470752089137,0.6288416075650118,0.680306905370844,423.0,0.7892992478667846,0.9117428059460544,0.77787068593144,"{""C"": 2.0, ""class_weight"": null}",0.7115789473684211,0.7115789473684211,0.6653543307086615,0.8254125335511728,0.8092748251203074,-0.006615155395338301,0.014184397163120588,-0.0052410498379213966,0.0019598376955527463
P05_TFIDF_UniBi_SGDLog,0.9962620932277925,0.9958577719900805,0.9917720657202946,0.9938000126379793,0.9962595618252607,0.9962620932277925,0.996254361641851,0.9964973730297724,0.9989196488858879,0.9977070407337469,7405.0,0.9952181709503886,0.9846244825547014,0.9898929845422116,1691.0,0.9917720657202946,0.9998664335276203,0.999353023734766,0.899736147757256,0.8588990642252208,0.7888586196458882,0.8172007677629807,0.8947193070285048,0.899736147757256,0.8943346176529186,0.9159405433111225,0.9654240950837385,0.9400315623356128,1851.0,0.8018575851393189,0.6122931442080378,0.6943699731903485,423.0,0.7888586196458882,0.9203267545624176,0.7842860780145358,P05_TFIDF_UniBi_SGDLog,0.9941732629727352,0.9848050458715596,0.9964213369345036,0.9904895404534537,0.9943503369764307,0.9941732629727352,0.9942077511008965,1.0,0.9928426738690074,0.9964084841092363,7405.0,0.9696100917431193,1.0,0.984570596797671,1691.0,0.9964213369345036,0.9997274764801222,0.9985848028702001,0.8817062445030783,0.8010461539908575,0.8270266024498929,0.8129016175577737,0.8876496195934525,0.8817062445030783,0.8841510789630637,0.9389567147613762,0.9141004862236629,0.9263618943334245,1851.0,0.663135593220339,0.7399527186761229,0.6994413407821229,423.0,0.8270266024498929,0.9192781871150091,0.7800598825864217,"{""alpha"": 1e-05, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",0.6977611940298507,0.6977611940298507,0.7362204724409449,0.8119617273704404,0.8253559607929297,0.0050713675917744006,0.12765957446808507,-0.004299150205206992,0.038167982804004685
