pipeline,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_precision_class_0,train_recall_class_0,train_f1_class_0,train_support_class_0,train_precision_class_1,train_recall_class_1,train_f1_class_1,train_support_class_1,train_balanced_accuracy,train_roc_auc,train_pr_auc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_balanced_accuracy,test_roc_auc,test_pr_auc,best_params,best_val_primary_score,best_val_f1_class_1,best_val_recall_class_1,best_val_f1_macro,best_val_balanced_accuracy
P01_Count_MultinomialNB,0.9456904133685137,0.9056096015251458,0.9180458486382409,0.9116509470132659,0.9466676436321743,0.9456904133685137,0.9461003821450203,0.9709690609240834,0.9620526671168129,0.9664902998236331,7405.0,0.8402501421262081,0.8740390301596689,0.8568115942028985,1691.0,0.9180458486382409,0.977393445300237,0.9306220737063757,0.882145998240985,0.8039363676425862,0.8127061852707564,0.8081937927796026,0.883938769142954,0.882145998240985,0.8829839835719921,0.9313351498637602,0.9232847109670448,0.9272924579489962,1851.0,0.6765375854214123,0.7021276595744681,0.6890951276102089,423.0,0.8127061852707564,0.9034206798957307,0.7583852460088194,"{""alpha"": 0.1}",0.6851485148514852,0.6851485148514852,0.6811023622047244,0.806843920347091,0.8054476707513272
P02_TFIDF_Unigram_LogReg,0.9439313984168866,0.8875362051368971,0.9521023043311074,0.9147462068810384,0.952899721242751,0.9439313984168866,0.9460810780640214,0.9915870526165692,0.9390952059419311,0.9646275488972118,7405.0,0.7834853576572252,0.9651094027202839,0.8648648648648649,1691.0,0.9521023043311074,0.9877144800031625,0.9463462663284922,0.8614775725593667,0.7725275361839111,0.8364866987750535,0.7964942266022057,0.8837540265027821,0.8614775725593667,0.8687091822651053,0.949648711943794,0.8762830902215019,0.9114919921326216,1851.0,0.5954063604240283,0.7966903073286052,0.6814964610717897,423.0,0.8364866987750535,0.9174479835192273,0.7462355119773787,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6689303904923599,0.6689303904923599,0.7755905511811023,0.7889257277076466,0.825689064969489
P03_TFIDF_UniBi_LogReg,0.9685576077396658,0.9299402761220663,0.9761255021720024,0.9507656128733549,0.972196008190807,0.9685576077396658,0.9693580522782745,0.997206313730968,0.9640783254557731,0.9803625377643505,7405.0,0.8626742385131647,0.9881726788882318,0.9211686879823594,1691.0,0.9761255021720024,0.9956238512584598,0.9788265464882178,0.8799472295514512,0.7972441560996548,0.839624738017786,0.8153502133072936,0.8908257637772817,0.8799472295514512,0.8839335138252542,0.9462669683257918,0.9038357644516477,0.9245647969052224,1851.0,0.6482213438735178,0.7754137115839244,0.7061356297093649,423.0,0.839624738017786,0.9223498128287949,0.7751567730063872,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6858168761220825,0.6858168761220825,0.7519685039370079,0.802641525957958,0.8255792114644536
P04_TFIDF_UniBi_LinearSVC,0.9980211081794196,0.9976377193507672,0.9958185109155153,0.9967251735601208,0.9980200376346974,0.9980211081794196,0.9980192963169668,0.9982463240253608,0.9993247805536799,0.9987852611688487,7405.0,0.9970291146761735,0.9923122412773506,0.994665085951393,1691.0,0.9958185109155153,0.9999587521177973,0.9998041210671185,0.890061565523307,0.8294813705026292,0.7892992478667846,0.8069617373375728,0.8850781047503977,0.890061565523307,0.8864969616333022,0.9180156657963446,0.9497568881685575,0.9336165693043016,1851.0,0.7409470752089137,0.6288416075650118,0.680306905370844,423.0,0.7892992478667846,0.9117428059460544,0.77787068593144,"{""C"": 2.0, ""class_weight"": null}",0.7115789473684211,0.7115789473684211,0.6653543307086615,0.8254125335511728,0.8092748251203074
P05_TFIDF_UniBi_SGDLog,0.9941732629727352,0.9848050458715596,0.9964213369345036,0.9904895404534537,0.9943503369764307,0.9941732629727352,0.9942077511008965,1.0,0.9928426738690074,0.9964084841092363,7405.0,0.9696100917431193,1.0,0.984570596797671,1691.0,0.9964213369345036,0.9997274764801222,0.9985848028702001,0.8817062445030783,0.8010461539908575,0.8270266024498929,0.8129016175577737,0.8876496195934525,0.8817062445030783,0.8841510789630637,0.9389567147613762,0.9141004862236629,0.9263618943334245,1851.0,0.663135593220339,0.7399527186761229,0.6994413407821229,423.0,0.8270266024498929,0.9192781871150091,0.7800598825864217,"{""alpha"": 1e-05, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",0.6977611940298507,0.6977611940298507,0.7362204724409449,0.8119617273704404,0.8253559607929297
