pipeline,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_precision_class_0,train_recall_class_0,train_f1_class_0,train_support_class_0,train_precision_class_1,train_recall_class_1,train_f1_class_1,train_support_class_1,train_balanced_accuracy,train_roc_auc,train_pr_auc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_balanced_accuracy,test_roc_auc,test_pr_auc,best_params,best_val_primary_score,best_val_f1_class_1,best_val_recall_class_1,best_val_f1_macro,best_val_balanced_accuracy
P11_TFIDF_SVD_LogReg,0.8879727352682498,0.8576605608322027,0.7425059226448477,0.7815369142805424,0.8824606416923937,0.8879727352682498,0.8773274767508149,0.8971393034825871,0.9740715732613099,0.9340239559728067,7405.0,0.8181818181818182,0.5109402720283855,0.6290498725882782,1691.0,0.7425059226448477,0.8992234377414529,0.7439335555802731,0.8671943711521548,0.7972465179289615,0.7241858914675219,0.7513919196979987,0.8568440921549281,0.8671943711521548,0.8579421134328794,0.8921518987341772,0.9519178822258239,0.9210663878724517,1851.0,0.7023411371237458,0.49645390070921985,0.5817174515235457,423.0,0.7241858914675219,0.8844468455489526,0.6720544026548998,"{""C"": 2.0, ""class_weight"": null}",0.5995423340961098,0.5995423340961098,0.515748031496063,0.7616115508247666,0.7344716755140082
P12_TFIDF_SVD_LinearSVC,0.8887423043095867,0.8569216356279186,0.7461728314215426,0.7843905151943971,0.8831134104546329,0.8887423043095867,0.8786171465161723,0.8986157875046764,0.9731262660364618,0.9343879668049793,7405.0,0.8152274837511606,0.5192193968066233,0.634393063583815,1691.0,0.7461728314215426,0.900052867566347,0.7448790176623763,0.8671943711521548,0.7949702314780503,0.728745435666364,0.7541456163865691,0.8572504678636912,0.8671943711521548,0.8588366811111192,0.8941475826972011,0.949216639654241,0.9208595387840671,1851.0,0.6957928802588996,0.508274231678487,0.587431693989071,423.0,0.728745435666364,0.8824225100993265,0.6681168427573712,"{""C"": 2.0, ""class_weight"": null}",0.6157303370786517,0.6157303370786517,0.5393700787401575,0.7704472254321049,0.7453826091270545
P13_TFIDF_SelectKBest_LogReg,0.9223834652594547,0.8583469506783031,0.9103478677879595,0.8807155976390448,0.9309758995303674,0.9223834652594547,0.9250032084245772,0.9739634922880996,0.9295070898041864,0.951216141514649,7405.0,0.7427304090685066,0.8911886457717327,0.8102150537634408,1691.0,0.9103478677879595,0.9687097478768122,0.9092357319752656,0.866754617414248,0.7784676663542642,0.8278733749439635,0.7985755742824594,0.8819765055280383,0.866754617414248,0.8721656525834376,0.9432989690721649,0.8897893030794165,0.9157631359466222,1851.0,0.6136363636363636,0.7659574468085106,0.6813880126182965,423.0,0.8278733749439635,0.9124043868690235,0.7521532226187525,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6654991243432574,0.6654991243432574,0.7480314960629921,0.7885161207635694,0.8168600324599389
P14_TFIDF_SelectKBest_LinearSVC,0.9682277924362357,0.9356655361679689,0.9645148821799965,0.9492206680379001,0.9700194379990024,0.9682277924362357,0.9687366983725073,0.9903528114663727,0.9704253882511816,0.9802878384830502,7405.0,0.8809782608695652,0.9586043761088113,0.9181534975927499,1691.0,0.9645148821799965,0.9935461638870599,0.9784203438374431,0.8830255057167986,0.8045397687402752,0.8187178868236835,0.8112964330994,0.8859915364746324,0.8830255057167986,0.8843557167639116,0.9342465753424658,0.9211237169097785,0.9276387377584331,1851.0,0.6748329621380846,0.7163120567375887,0.694954128440367,423.0,0.8187178868236835,0.8999224749767872,0.7347512658947452,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6784313725490196,0.6784313725490196,0.6811023622047244,0.8022787493375729,0.8031974457288249
P15_TFIDF_ComplementNB,0.9611917326297273,0.9194500916938352,0.9629314107214946,0.9391181824799225,0.9649675986227833,0.9611917326297273,0.9621468962933212,0.9919084821428571,0.9601620526671168,0.9757771220750703,7405.0,0.8469917012448133,0.9657007687758723,0.9024592428847747,1691.0,0.9629314107214946,0.9928053391450389,0.9716529177495816,0.8786279683377308,0.7964115010015155,0.8214880972907113,0.8078707530223384,0.8845534794970977,0.8786279683377308,0.8810890888704401,0.9367720465890182,0.9124797406807131,0.9244663382594417,1851.0,0.6560509554140127,0.7304964539007093,0.6912751677852349,423.0,0.8214880972907113,0.9129305863676015,0.78679294789562,"{""alpha"": 0.1}",0.6863468634686347,0.6863468634686347,0.7322834645669292,0.804325168480204,0.8202371418244188
