baseline_pipeline,baseline_train_accuracy,baseline_train_precision_macro,baseline_train_recall_macro,baseline_train_f1_macro,baseline_train_precision_weighted,baseline_train_recall_weighted,baseline_train_f1_weighted,baseline_train_precision_class_0,baseline_train_recall_class_0,baseline_train_f1_class_0,baseline_train_support_class_0,baseline_train_precision_class_1,baseline_train_recall_class_1,baseline_train_f1_class_1,baseline_train_support_class_1,baseline_train_balanced_accuracy,baseline_train_roc_auc,baseline_train_pr_auc,baseline_test_accuracy,baseline_test_precision_macro,baseline_test_recall_macro,baseline_test_f1_macro,baseline_test_precision_weighted,baseline_test_recall_weighted,baseline_test_f1_weighted,baseline_test_precision_class_0,baseline_test_recall_class_0,baseline_test_f1_class_0,baseline_test_support_class_0,baseline_test_precision_class_1,baseline_test_recall_class_1,baseline_test_f1_class_1,baseline_test_support_class_1,baseline_test_balanced_accuracy,baseline_test_roc_auc,baseline_test_pr_auc,tuned_pipeline,tuned_train_accuracy,tuned_train_precision_macro,tuned_train_recall_macro,tuned_train_f1_macro,tuned_train_precision_weighted,tuned_train_recall_weighted,tuned_train_f1_weighted,tuned_train_precision_class_0,tuned_train_recall_class_0,tuned_train_f1_class_0,tuned_train_support_class_0,tuned_train_precision_class_1,tuned_train_recall_class_1,tuned_train_f1_class_1,tuned_train_support_class_1,tuned_train_balanced_accuracy,tuned_train_roc_auc,tuned_train_pr_auc,tuned_test_accuracy,tuned_test_precision_macro,tuned_test_recall_macro,tuned_test_f1_macro,tuned_test_precision_weighted,tuned_test_recall_weighted,tuned_test_f1_weighted,tuned_test_precision_class_0,tuned_test_recall_class_0,tuned_test_f1_class_0,tuned_test_support_class_0,tuned_test_precision_class_1,tuned_test_recall_class_1,tuned_test_f1_class_1,tuned_test_support_class_1,tuned_test_balanced_accuracy,tuned_test_roc_auc,tuned_test_pr_auc,tuned_best_params,tuned_best_val_primary_score,tuned_best_val_f1_class_1,tuned_best_val_recall_class_1,tuned_best_val_f1_macro,tuned_best_val_balanced_accuracy,delta_test_f1_class_1,delta_test_recall_class_1,delta_test_f1_macro,delta_test_balanced_accuracy
P11_TFIDF_SVD_LogReg,0.8830255057167986,0.8594551049297725,0.7223553538992425,0.76442517726267,0.8781764379985892,0.8830255057167986,0.8694270794608246,0.8892572130141191,0.9781228899392302,0.9315755627009646,7405.0,0.8296529968454258,0.4665878178592549,0.5972747918243755,1691.0,0.7223553538992425,0.897219661144455,0.7405060059359027,0.8689533861037819,0.808496850475861,0.7152353912587024,0.7472383356608301,0.8584574597794901,0.8689533861037819,0.8573835143886724,0.888055972013993,0.9600216099405726,0.9226375908618899,1851.0,0.7289377289377289,0.47044917257683216,0.5718390804597702,423.0,0.7152353912587024,0.8851544050688849,0.6725710309657459,P11_TFIDF_SVD_LogReg,0.8879727352682498,0.8576605608322027,0.7425059226448477,0.7815369142805424,0.8824606416923937,0.8879727352682498,0.8773274767508149,0.8971393034825871,0.9740715732613099,0.9340239559728067,7405.0,0.8181818181818182,0.5109402720283855,0.6290498725882782,1691.0,0.7425059226448477,0.8992234377414529,0.7439335555802731,0.8671943711521548,0.7972465179289615,0.7241858914675219,0.7513919196979987,0.8568440921549281,0.8671943711521548,0.8579421134328794,0.8921518987341772,0.9519178822258239,0.9210663878724517,1851.0,0.7023411371237458,0.49645390070921985,0.5817174515235457,423.0,0.7241858914675219,0.8844468455489526,0.6720544026548998,"{""C"": 2.0, ""class_weight"": null}",0.5995423340961098,0.5995423340961098,0.515748031496063,0.7616115508247666,0.7344716755140082,0.009878371063775537,0.02600472813238769,0.0041535840371685895,0.00895050020881949
P12_TFIDF_SVD_LinearSVC,0.8884124890061565,0.8569845432251724,0.7448294601718356,0.7833014446593827,0.8828010012747043,0.8884124890061565,0.8781087860007348,0.8980812359830551,0.9733963538149899,0.934223316700149,7405.0,0.8158878504672897,0.5162625665286813,0.6323795726186164,1691.0,0.7448294601718356,0.8997669674341383,0.7442326477314236,0.8676341248900615,0.7961266861317726,0.7290155599235222,0.7546887762178489,0.8577145163771506,0.8676341248900615,0.859216292681828,0.8942014242115972,0.9497568881685575,0.9211422583180509,1851.0,0.698051948051948,0.508274231678487,0.5882352941176471,423.0,0.7290155599235222,0.882608978853677,0.6683936124102758,P12_TFIDF_SVD_LinearSVC,0.8887423043095867,0.8569216356279186,0.7461728314215426,0.7843905151943971,0.8831134104546329,0.8887423043095867,0.8786171465161723,0.8986157875046764,0.9731262660364618,0.9343879668049793,7405.0,0.8152274837511606,0.5192193968066233,0.634393063583815,1691.0,0.7461728314215426,0.900052867566347,0.7448790176623763,0.8671943711521548,0.7949702314780503,0.728745435666364,0.7541456163865691,0.8572504678636912,0.8671943711521548,0.8588366811111192,0.8941475826972011,0.949216639654241,0.9208595387840671,1851.0,0.6957928802588996,0.508274231678487,0.587431693989071,423.0,0.728745435666364,0.8824225100993265,0.6681168427573712,"{""C"": 2.0, ""class_weight"": null}",0.6157303370786517,0.6157303370786517,0.5393700787401575,0.7704472254321049,0.7453826091270545,-0.0008036001285760541,0.0,-0.000543159831279838,-0.00027012425715822186
P13_TFIDF_SelectKBest_LogReg,0.8883025505716798,0.9278307405478439,0.7036929432580077,0.756337314429236,0.8983983614073955,0.8883025505716798,0.8689828715427592,0.8809779367918903,0.9975692099932478,0.9356554781507284,7405.0,0.9746835443037974,0.4098166765227676,0.5770191507077436,1691.0,0.7036929432580077,0.9446569218378588,0.8668074173083746,0.8663148636763413,0.8791913230371866,0.6552524799705737,0.6969430216266359,0.8698669903965744,0.8663148636763413,0.8392153689483884,0.8643429109750354,0.9913560237709347,0.9235027679919476,1851.0,0.8940397350993378,0.3191489361702128,0.47038327526132406,423.0,0.6552524799705737,0.9075804657376436,0.7492548946931314,P13_TFIDF_SelectKBest_LogReg,0.9223834652594547,0.8583469506783031,0.9103478677879595,0.8807155976390448,0.9309758995303674,0.9223834652594547,0.9250032084245772,0.9739634922880996,0.9295070898041864,0.951216141514649,7405.0,0.7427304090685066,0.8911886457717327,0.8102150537634408,1691.0,0.9103478677879595,0.9687097478768122,0.9092357319752656,0.866754617414248,0.7784676663542642,0.8278733749439635,0.7985755742824594,0.8819765055280383,0.866754617414248,0.8721656525834376,0.9432989690721649,0.8897893030794165,0.9157631359466222,1851.0,0.6136363636363636,0.7659574468085106,0.6813880126182965,423.0,0.8278733749439635,0.9124043868690235,0.7521532226187525,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6654991243432574,0.6654991243432574,0.7480314960629921,0.7885161207635694,0.8168600324599389,0.21100473735697245,0.44680851063829785,0.1016325526558235,0.17262089497338984
P14_TFIDF_SelectKBest_LinearSVC,0.9594327176781002,0.9666012543444451,0.8981941174051289,0.927832581558931,0.9601241799435131,0.9594327176781002,0.957831448112334,0.9562905317769131,0.9956785955435516,0.9755871650678134,7405.0,0.976911976911977,0.8007096392667061,0.8800779980500487,1691.0,0.8981941174051289,0.9868373336059233,0.963850346914224,0.8948988566402815,0.866392033242585,0.7612657141433996,0.7989349009539277,0.8901421754899073,0.8948988566402815,0.8861637543722047,0.9042126379137412,0.9740680713128039,0.9378413524057218,1851.0,0.8285714285714286,0.5484633569739953,0.6600284495021337,423.0,0.7612657141433996,0.9121042488055143,0.7775970857545831,P14_TFIDF_SelectKBest_LinearSVC,0.9682277924362357,0.9356655361679689,0.9645148821799965,0.9492206680379001,0.9700194379990024,0.9682277924362357,0.9687366983725073,0.9903528114663727,0.9704253882511816,0.9802878384830502,7405.0,0.8809782608695652,0.9586043761088113,0.9181534975927499,1691.0,0.9645148821799965,0.9935461638870599,0.9784203438374431,0.8830255057167986,0.8045397687402752,0.8187178868236835,0.8112964330994,0.8859915364746324,0.8830255057167986,0.8843557167639116,0.9342465753424658,0.9211237169097785,0.9276387377584331,1851.0,0.6748329621380846,0.7163120567375887,0.694954128440367,423.0,0.8187178868236835,0.8999224749767872,0.7347512658947452,"{""C"": 2.0, ""class_weight"": ""balanced""}",0.6784313725490196,0.6784313725490196,0.6811023622047244,0.8022787493375729,0.8031974457288249,0.034925678938233284,0.1678486997635934,0.01236153214547231,0.05745217268028391
P15_TFIDF_ComplementNB,0.9453605980650835,0.9101096911454656,0.9091731616441814,0.9096404365718305,0.9452990136714434,0.9453605980650835,0.945329368688013,0.9661268556005398,0.9667792032410534,0.9664529193385083,7405.0,0.8540925266903915,0.8515671200473093,0.8528279538051525,1691.0,0.9091731616441814,0.9739586906253107,0.9288916106628059,0.8918205804749341,0.830981226486671,0.7958511979340284,0.8115736218430218,0.8873959001848786,0.8918205804749341,0.8887923933567486,0.9208180388044048,0.9486763911399244,0.9345396487493347,1851.0,0.7411444141689373,0.6430260047281324,0.6886075949367089,423.0,0.7958511979340284,0.9010885432831017,0.769518440202954,P15_TFIDF_ComplementNB,0.9611917326297273,0.9194500916938352,0.9629314107214946,0.9391181824799225,0.9649675986227833,0.9611917326297273,0.9621468962933212,0.9919084821428571,0.9601620526671168,0.9757771220750703,7405.0,0.8469917012448133,0.9657007687758723,0.9024592428847747,1691.0,0.9629314107214946,0.9928053391450389,0.9716529177495816,0.8786279683377308,0.7964115010015155,0.8214880972907113,0.8078707530223384,0.8845534794970977,0.8786279683377308,0.8810890888704401,0.9367720465890182,0.9124797406807131,0.9244663382594417,1851.0,0.6560509554140127,0.7304964539007093,0.6912751677852349,423.0,0.8214880972907113,0.9129305863676015,0.78679294789562,"{""alpha"": 0.1}",0.6863468634686347,0.6863468634686347,0.7322834645669292,0.804325168480204,0.8202371418244188,0.002667572848526034,0.08747044917257685,-0.0037028688206834914,0.025636899356682896
