pipeline,classifier_name,params,primary_metric,primary_score,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,val_precision_class_0,val_recall_class_0,val_f1_class_0,val_support_class_0,val_precision_class_1,val_recall_class_1,val_f1_class_1,val_support_class_1,val_balanced_accuracy,val_roc_auc,val_pr_auc,best_params
P11_TFIDF_SVD_LogReg,clf,"{""C"": 2.0, ""class_weight"": null}",f1_pos,0.5995423340961098,0.8717948717948718,0.8058930404149677,0.7344716755140082,0.7616115508247666,0.8624274443114419,0.8717948717948718,0.8633648978844435,0.8959390862944162,0.9531953195319532,0.9236807675534234,1111.0,0.7158469945355191,0.515748031496063,0.5995423340961098,254.0,0.7344716755140082,0.8664960984287406,0.6649065259800371,"{""C"": 2.0, ""class_weight"": null}"
P12_TFIDF_SVD_LinearSVC,clf,"{""C"": 2.0, ""class_weight"": null}",f1_pos,0.6157303370786517,0.8747252747252747,0.8088091012067751,0.7453826091270545,0.7704472254321049,0.8662762026364333,0.8747252747252747,0.8675844952628076,0.9003407155025553,0.9513951395139514,0.925164113785558,1111.0,0.7172774869109948,0.5393700787401575,0.6157303370786517,254.0,0.7453826091270545,0.8679950672232576,0.6711424352245529,"{""C"": 2.0, ""class_weight"": null}"
P13_TFIDF_SelectKBest_LogReg,clf,"{""C"": 2.0, ""class_weight"": ""balanced""}",f1_pos,0.6654991243432574,0.8600732600732601,0.7691501914417127,0.8168600324599389,0.7885161207635694,0.8757453621903256,0.8600732600732601,0.8657509676003513,0.9389312977099237,0.8856885688568857,0.9115331171838814,1111.0,0.5993690851735016,0.7480314960629921,0.6654991243432574,254.0,0.8168600324599389,0.9006392765260778,0.7444768743920503,"{""C"": 2.0, ""class_weight"": ""balanced""}"
P14_TFIDF_SelectKBest_LinearSVC,clf,"{""C"": 2.0, ""class_weight"": ""balanced""}",f1_pos,0.6784313725490196,0.8798534798534798,0.8013712381650135,0.8031974457288249,0.8022787493375729,0.8802215091228279,0.8798534798534798,0.8800349412114117,0.9269612263300271,0.9252925292529253,0.9261261261261261,1111.0,0.67578125,0.6811023622047244,0.6784313725490196,254.0,0.8031974457288249,0.8869642869798792,0.7174450809612318,"{""C"": 2.0, ""class_weight"": ""balanced""}"
P15_TFIDF_ComplementNB,clf,"{""alpha"": 0.1}",f1_pos,0.6863468634686347,0.8754578754578755,0.7913474930362117,0.8202371418244188,0.804325168480204,0.882706932498019,0.8754578754578755,0.8783965292090793,0.9368616527390901,0.9081908190819082,0.9223034734917733,1111.0,0.6458333333333334,0.7322834645669292,0.6863468634686347,254.0,0.8202371418244188,0.906748548870635,0.77158336287814,"{""alpha"": 0.1}"
