rang,pipeline,train_f1_class_1,test_f1_class_1,train_recall_class_1,test_recall_class_1,train_precision_class_1,test_precision_class_1,train_f1_macro,test_f1_macro,train_balanced_accuracy,test_balanced_accuracy,train_roc_auc,test_roc_auc,train_pr_auc,test_pr_auc,gap_f1_class_1,gap_f1_macro
1,P05_TFIDF_UniBi_SGDLog,0.9899,0.6944,0.9846,0.6123,0.9952,0.8019,0.9938,0.8172,0.9918,0.7889,0.9999,0.9203,0.9994,0.7843,0.2955,0.17659999999999998
2,P01_Count_MultinomialNB,0.8155,0.6901,0.8427,0.7187,0.7899,0.6638,0.8858,0.8078,0.8958,0.8177,0.961,0.9054,0.8981,0.7616,0.12539999999999996,0.07800000000000007
