rang,pipeline,train_f1_class_1,test_f1_class_1,train_recall_class_1,test_recall_class_1,train_precision_class_1,test_precision_class_1,train_f1_macro,test_f1_macro,train_balanced_accuracy,test_balanced_accuracy,train_roc_auc,test_roc_auc,train_pr_auc,test_pr_auc,gap_f1_class_1,gap_f1_macro
1,P10_WordChar_Hybrid_LinearSVC,0.997,0.6797,0.9959,0.617,0.9982,0.7565,0.9982,0.8073,0.9977,0.7858,1.0,0.92,1.0,0.7757,0.3173,0.19089999999999996
2,P08_CharTFIDF_LinearSVC,0.9778,0.6471,0.9616,0.5745,0.9945,0.7409,0.9864,0.7887,0.9802,0.7643,0.9997,0.9141,0.9986,0.7524,0.3307,0.1977000000000001
