rang,pipeline,train_f1_class_1,test_f1_class_1,train_recall_class_1,test_recall_class_1,train_precision_class_1,test_precision_class_1,train_f1_macro,test_f1_macro,train_balanced_accuracy,test_balanced_accuracy,train_roc_auc,test_roc_auc,train_pr_auc,test_pr_auc,gap_f1_class_1,gap_f1_macro
1,P15_TFIDF_ComplementNB,0.8528,0.6886,0.8516,0.643,0.8541,0.7411,0.9096,0.8116,0.9092,0.7959,0.974,0.9011,0.9289,0.7695,0.1642,0.09799999999999998
2,P14_TFIDF_SelectKBest_LinearSVC,0.8801,0.66,0.8007,0.5485,0.9769,0.8286,0.9278,0.7989,0.8982,0.7613,0.9868,0.9121,0.9639,0.7776,0.22009999999999996,0.1288999999999999
