pipeline,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_precision_class_0,train_recall_class_0,train_f1_class_0,train_support_class_0,train_precision_class_1,train_recall_class_1,train_f1_class_1,train_support_class_1,train_balanced_accuracy,train_roc_auc,train_pr_auc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_balanced_accuracy,test_roc_auc,test_pr_auc
P11_TFIDF_SVD_LogReg,0.883,0.8595,0.7224,0.7644,0.8782,0.883,0.8694,0.8893,0.9781,0.9316,7405.0,0.8297,0.4666,0.5973,1691.0,0.7224,0.8972,0.7405,0.869,0.8085,0.7152,0.7472,0.8585,0.869,0.8574,0.8881,0.96,0.9226,1851.0,0.7289,0.4704,0.5718,423.0,0.7152,0.8852,0.6726
P12_TFIDF_SVD_LinearSVC,0.8884,0.857,0.7448,0.7833,0.8828,0.8884,0.8781,0.8981,0.9734,0.9342,7405.0,0.8159,0.5163,0.6324,1691.0,0.7448,0.8998,0.7442,0.8676,0.7961,0.729,0.7547,0.8577,0.8676,0.8592,0.8942,0.9498,0.9211,1851.0,0.6981,0.5083,0.5882,423.0,0.729,0.8826,0.6684
P13_TFIDF_SelectKBest_LogReg,0.8883,0.9278,0.7037,0.7563,0.8984,0.8883,0.869,0.881,0.9976,0.9357,7405.0,0.9747,0.4098,0.577,1691.0,0.7037,0.9447,0.8668,0.8663,0.8792,0.6553,0.6969,0.8699,0.8663,0.8392,0.8643,0.9914,0.9235,1851.0,0.894,0.3191,0.4704,423.0,0.6553,0.9076,0.7493
P14_TFIDF_SelectKBest_LinearSVC,0.9594,0.9666,0.8982,0.9278,0.9601,0.9594,0.9578,0.9563,0.9957,0.9756,7405.0,0.9769,0.8007,0.8801,1691.0,0.8982,0.9868,0.9639,0.8949,0.8664,0.7613,0.7989,0.8901,0.8949,0.8862,0.9042,0.9741,0.9378,1851.0,0.8286,0.5485,0.66,423.0,0.7613,0.9121,0.7776
P15_TFIDF_ComplementNB,0.9454,0.9101,0.9092,0.9096,0.9453,0.9454,0.9453,0.9661,0.9668,0.9665,7405.0,0.8541,0.8516,0.8528,1691.0,0.9092,0.974,0.9289,0.8918,0.831,0.7959,0.8116,0.8874,0.8918,0.8888,0.9208,0.9487,0.9345,1851.0,0.7411,0.643,0.6886,423.0,0.7959,0.9011,0.7695
