pipeline,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_precision_class_0,train_recall_class_0,train_f1_class_0,train_support_class_0,train_precision_class_1,train_recall_class_1,train_f1_class_1,train_support_class_1,train_balanced_accuracy,train_roc_auc,train_pr_auc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_balanced_accuracy,test_roc_auc,test_pr_auc
P06_TFIDF_Sublinear_LogReg,0.8989,0.9372,0.7309,0.7858,0.908,0.8989,0.8836,0.8907,0.9982,0.9414,7405.0,0.9837,0.4636,0.6302,1691.0,0.7309,0.9773,0.9324,0.8707,0.8822,0.668,0.712,0.8738,0.8707,0.8463,0.8688,0.9908,0.9258,1851.0,0.8957,0.3452,0.4983,423.0,0.668,0.9165,0.7687
P07_CharTFIDF_LogReg,0.907,0.9341,0.7565,0.8098,0.9128,0.907,0.8952,0.9003,0.9961,0.9458,7405.0,0.9679,0.5169,0.6739,1691.0,0.7565,0.9709,0.9111,0.8703,0.8567,0.6787,0.7211,0.8669,0.8703,0.8492,0.873,0.9838,0.9251,1851.0,0.8404,0.3735,0.5172,423.0,0.6787,0.9087,0.7455
P08_CharTFIDF_LinearSVC,0.9919,0.9929,0.9802,0.9864,0.9919,0.9919,0.9918,0.9913,0.9988,0.995,7405.0,0.9945,0.9616,0.9778,1691.0,0.9802,0.9997,0.9986,0.8835,0.8242,0.7643,0.7887,0.8765,0.8835,0.8776,0.9075,0.9541,0.9302,1851.0,0.7409,0.5745,0.6471,423.0,0.7643,0.9141,0.7524
P09_WordChar_Hybrid_LogReg,0.9394,0.9594,0.8407,0.8858,0.9425,0.9394,0.935,0.9325,0.9978,0.9641,7405.0,0.9863,0.6836,0.8075,1691.0,0.8407,0.9899,0.9658,0.8839,0.8637,0.7226,0.7655,0.8797,0.8839,0.8701,0.8892,0.9795,0.9321,1851.0,0.8383,0.4657,0.5988,423.0,0.7226,0.9233,0.7809
P10_WordChar_Hybrid_LinearSVC,0.9989,0.9986,0.9977,0.9982,0.9989,0.9989,0.9989,0.9991,0.9996,0.9993,7405.0,0.9982,0.9959,0.997,1691.0,0.9977,1.0,1.0,0.8918,0.8363,0.7858,0.8073,0.8863,0.8918,0.8874,0.916,0.9546,0.9349,1851.0,0.7565,0.617,0.6797,423.0,0.7858,0.92,0.7757
